bgg_id,name,udo_bartsch,johanna_france,tobias_franke,manuel_fritsch,martina_fuchs,karsten_grosser,maren_hoffmann,stephan_kessler,tim_koch,michaela_poignee,christoph_schlewinski,harald_schrapers,nico_wagner,julia_zerlik
418059,SETI,7,,,10,,,9,6,,,,,,
400602,Civolution,,,,5,,,8,,,,,,,
354323,Goblin Coaster,,,,,,,,,,,6,,,
374134,Chandigarh,,,,5,,,,,,,,,,
412535,Friedrich Ebert,,,,,,,7,,,,,,,
227935,Wonderland’s War,,,,,,,7,6,,,7,,,
427887,Castle Builder,5,,,4,,,6,,,,,,,
412911,Monkey Palace,5,6,,6,,,8,5,,,5,6,,
422732,Agent Avenue,7,8,,7,,,8,8,,,6,8,,
393333,Galileo Galilei,6,,,6,,,7,,,,7,7,,
410103,7 Empires,7,,,,,,,,,,,,,
422019,Duck & Cover,6,7,,,,,7,7,,,6,8,,
430161,Dreamteam,,7,,,,,7,,,,,,,
426994,Urbion,,,,,,,,,,,,,,
425798,Moonlight Market,5,,,,,,,,,,6,5,,
413435,Oh My Pigeons!,3,4,,,,,4,3,,,,,,
